-------------------------------------------------------------------------------
      DAENEMARK
-------------------------------------------------------------------------------
       
     Für umfassende Informationen weltweit,siehe unter :
        http://www.themamundi.de/aws/tabellen/zeitzonen.htm

      KOPENHAGEN  Br.:55.4154 N  Lg.:12.3605 ö  =  0h 50m 24s
      
      am 15.10.1582 wurde der Gregorianischer Kalender eingeführt
      bis 31.12.1893 bestand Ortszeit
      ab 01.01.1894  GMT = Ereig.Zeit -1h

      SOMMERZEIT
      vom
      14.05.1916  23h  bis  01.10.1916  0h  GMT = Ereig.Zeit -2h
      von 1917 bis 1939  keine Sommerzeit   GMT = Ereig.Zeit -1h
      15.05.1940   0h  bis  02.11.1942  3h  GMT = Ereig.Zeit -2h
      29.03.1943   2h  bis  04.10.1943  3h  GMT = Ereig.Zeit -2h
      03.04.1944   2h  bis  02.10.1944  3h  GMT = Ereig.Zeit -2h
      02.04.1945   2h  bis  15.08.1945  3h  GMT = Ereig.Zeit -2h
      01.05.1946   2h  bis  01.09.1946  3h  GMT = Ereig.Zeit -2h
      04.05.1947   2h  bis  10.08.1947  3h  GMT = Ereig.Zeit -2h
      09.05.1948   2h  bis  08.08.1948  3h  GMT = Ereig.Zeit -2h
      von 1949 bis 1979  keine Sommerzeit   GMT = Ereig.Zeit -1h
      06.04.1980   2h  bis  28.09.1980  3h  GMT = Ereig.Zeit -2h
      29.03.1981   2h  bis  27.09.1981  3h  GMT = Ereig.Zeit -2h
      28.03.1982   2h  bis  26.09.1982  3h  GMT = Ereig.Zeit -2h
      27.03.1983   2h  bis  25.09.1983  3h  GMT = Ereig.Zeit -2h
      25.03.1984   2h  bis  30.09.1984  3h  GMT = Ereig.Zeit -2h
      31.03.1985   2h  bis  29.09.1985  3h  GMT = Ereig.Zeit -2h
      30.03.1986   2h  bis  28.09.1986  3h  GMT = Ereig.Zeit -2h
      29.03.1987   2h  bis  27.09.1987  3h  GMT = Ereig.Zeit -2h
      27.03.1988   2h  bis  25.09.1988  3h  GMT = Ereig.Zeit -2h
      26.03.1989   2h  bis  24.09.1989  3h  GMT = Ereig.Zeit -2h
      25.03.1990   2h  bis  30.09.1990  3h  GMT = Ereig.Zeit -2h
      31.03.1991   2h  bis  29.09.1991  3h  GMT = Ereig.Zeit -2h
      29.03.1992   2h  bis  27.09.1992  3h  GMT = Ereig.Zeit -2h
      28.03.1993   2h  bis  26.09.1993  3h  GMT = Ereig.Zeit -2h
      27.03.1994   2h  bis  25.09.1994  3h  GMT = Ereig.Zeit -2h
      26.03.1995   2h  bis  24.09.1995  3h  GMT = Ereig.Zeit -2h
      31.03.1996   2h  bis  27.10.1996  3h  GMT = Ereig.Zeit -2h
      30.03.1997   2h  bis  26.10.1997  3h  GMT = Ereig.Zeit -2h
      29.03.1998   2h  bis  25.10.1998  3h  GMT = Ereig.Zeit -2h

      28.03.1999   2h  bis  31.10.1999  3h  GMT = Ereig.Zeit -2h 
      26.03.2000   2h  bis  29.10.2000  3h  GMT = Ereig.Zeit -2h 
      31.03.2001   2h  bis  28.10.2001  3h  GMT = Ereig.Zeit -2h 
      31.03.2002   2h  bis  27.10.2002  3h  GMT = Ereig.Zeit -2h 
      30.03.2003   2h  bis  26.10.2003  3h  GMT = Ereig.Zeit -2h 
      28.03.2004   2h  bis  31.10.2004  3h  GMT = Ereig.Zeit -2h 
      27.03.2005   2h  bis  30.10.2005  3h  GMT = Ereig.Zeit -2h 
      26.03.2006   2h  bis  29.10.2006  3h  GMT = Ereig.Zeit -2h 
      25.03.2007   2h  bis  28.10.2007  3h  GMT = Ereig.Zeit -2h 
      30.03.2008   2h  bis  26.10.2008  3h  GMT = Ereig.Zeit -2h 
      29.03.2009   2h  bis  25.10.2009  3h  GMT = Ereig.Zeit -2h 
      28.03.2010   2h  bis  31.10.2010  3h  GMT = Ereig.Zeit -2h 

